期号,红1,红2,红3,红4,红5,红6,篮球,奖池奖金(元),一等奖 注数,一等奖 奖金(元),二等奖 注数,二等奖 奖金(元),总投注额(元),开奖日期
3038,5,7,8,24,25,27,16,"17,846,466",1,"5,000,000",13,"99,827","26,782,590",2003-07-03
3039,3,5,23,24,27,32,3,"18,823,695",1,"5,000,000",1,"2,561,669","27,694,202",2003-07-06
3040,4,5,6,12,14,23,16,"19,393,421",1,"5,000,000",1,"2,387,025","27,328,054",2003-07-10
3041,2,3,17,18,24,25,11,"8,855,427",3,"5,000,000",11,"173,844","28,265,402",2003-07-13
3042,3,5,7,10,15,20,7,"8,244,457",1,"5,000,000",14,"134,358","26,607,702",2003-07-17
3043,2,8,10,19,20,32,13,"12,884,963",0,0,5,"397,757","27,416,990",2003-07-20
3044,2,5,9,16,32,33,15,"18,107,421",0,0,13,"172,168","26,537,776",2003-07-24
3045,3,7,14,15,17,32,3,"24,418,051",0,0,8,"338,069","26,657,064",2003-07-27
3046,7,8,10,11,17,26,11,"30,344,002",0,0,27,"94,062","27,144,542",2003-07-31
3047,3,17,26,28,32,33,16,"21,170,406",3,"5,000,000",2,"1,248,515","28,355,638",2003-08-03
3048,10,12,20,28,30,31,9,"21,250,495",1,"5,000,000",5,"435,436","27,557,888",2003-08-07
3049,3,6,7,13,24,25,15,"21,162,598",1,"5,000,000",17,"123,834","27,734,490",2003-08-10
3050,2,8,17,23,24,26,13,"3,000,000",7,"3,102,519",39,"6,099","28,450,710",2003-08-14
3051,4,13,15,17,24,27,1,"8,574,843",0,0,6,"398,203","24,831,800",2003-08-17
3052,1,12,13,23,30,31,11,"12,527,152",0,0,8,"211,730","28,371,758",2003-08-21
3053,15,19,20,21,28,29,13,"19,193,731",0,0,13,"219,777","29,854,724",2003-08-24
3054,2,5,9,21,31,33,12,"20,183,598",1,"5,000,000",2,"1,283,543","29,449,334",2003-08-28
3055,6,13,16,21,28,31,16,"23,989,902",0,0,5,"326,254","29,508,178",2003-08-31
3056,8,17,21,26,28,29,7,"22,892,844",1,"5,000,000",3,"557,563","32,664,536",2003-09-04
3057,18,19,24,25,30,31,16,"24,762,391",1,"5,000,000",14,"210,292","32,781,224",2003-09-07
3058,9,11,16,28,32,33,2,"31,813,344",0,0,5,"604,367","31,985,104",2003-09-11
3059,2,3,5,6,18,30,4,"39,018,764",0,0,9,"343,115","33,611,668",2003-09-14
3060,2,4,6,17,21,28,11,"44,870,316",0,0,8,"313,476","35,595,266",2003-09-18
3061,3,5,20,21,28,32,2,"53,944,234",0,0,32,"121,525","38,065,358",2003-09-21
3062,1,6,12,19,20,32,14,"61,312,881",0,0,10,"315,799","40,972,030",2003-09-25
3063,5,8,9,14,21,33,11,"71,301,051",0,0,20,"214,032","45,643,734",2003-09-28
3064,4,6,8,12,15,30,1,"80,873,748",0,0,30,"136,752","40,925,392",2003-10-02
3065,6,15,16,17,30,33,11,"86,060,981",1,"5,000,000",6,"727,659","41,948,818",2003-10-05
3066,3,7,8,20,24,32,14,"93,898,014",0,0,15,"223,915","45,124,280",2003-10-09
3067,5,11,12,13,27,31,10,"85,888,068",3,"5,000,000",25,"119,829","48,192,830",2003-10-12
3068,9,19,25,27,32,33,11,"85,756,772",2,"5,000,000",8,"528,680","46,972,102",2003-10-16
3069,7,11,16,19,26,28,11,"97,803,661",0,0,8,"645,369","45,227,392",2003-10-19
3070,1,2,4,17,18,19,8,"100,888,955",1,"5,000,000",23,"150,657","48,248,338",2003-10-23
3071,9,11,12,14,15,33,11,"105,987,271",0,0,11,"1,081,461","55,288,802",2003-10-26
3072,3,6,8,11,19,27,11,"96,034,020",3,"5,000,000",33,"356,840","63,510,334",2003-10-30
3073,2,12,14,21,23,30,13,"100,543,175",1,"5,000,000",19,"214,492","57,551,772",2003-11-02
3074,2,12,19,22,27,32,1,"96,680,954",2,"5,000,000",20,"716,074","59,866,792",2003-11-06
3075,16,17,19,22,31,33,11,"94,144,383",1,"5,000,000",8,"131,969","52,503,898",2003-11-09
3076,1,13,16,18,20,29,2,"107,390,751",0,0,18,"315,389","58,283,200",2003-11-13
3077,4,12,16,22,24,25,6,"112,553,918",0,0,14,"860,527","59,628,070",2003-11-16
3078,7,12,23,26,29,30,11,"108,688,617",1,"5,000,000",13,"203,664","61,385,292",2003-11-20
3079,12,15,22,23,26,31,4,"109,518,597",1,"5,000,000",9,"1,511,476","61,225,192",2003-11-23
3080,9,20,24,25,28,30,10,"104,628,920",2,"5,000,000",7,"1,703,441","61,168,028",2003-11-27
3081,1,2,14,26,29,30,7,"93,553,782",3,"5,000,000",5,"1,831,603","62,508,530",2003-11-30
3082,7,17,18,19,30,31,14,"99,074,100",1,"5,000,000",57,"79,100","61,740,044",2003-12-04
3083,1,3,14,18,26,28,1,"108,808,082",1,"5,000,000",21,"300,693","59,695,084",2003-12-07
3084,2,6,7,10,17,33,3,"114,873,334",0,0,16,"884,515","62,314,966",2003-12-11
3085,1,4,11,12,19,27,14,"109,846,806",2,"5,000,000",60,"193,412","62,490,224",2003-12-14
3086,5,12,16,18,26,30,13,"109,175,163",1,"5,000,000",61,"165,565","64,581,496",2003-12-18
3087,2,3,4,5,24,28,13,"116,878,160",0,0,5,"3,594,732","66,127,570",2003-12-21
3088,3,10,21,22,24,33,12,"121,793,517",0,0,16,"716,822","64,097,276",2003-12-25
3089,18,19,21,26,27,33,16,"89,709,599",7,"5,000,000",8,"850,524","67,728,980",2003-12-28
4001,1,2,3,7,10,25,7,"98,223,369",0,0,13,"280,673","66,703,336",2004-01-01
4002,10,12,18,22,30,31,11,"83,282,112",4,"5,000,000",18,"120,446","68,295,172",2004-01-04
4003,3,5,6,17,26,33,8,"66,985,730",5,"5,000,000",36,"103,614","68,220,442",2004-01-08
4004,10,19,22,23,25,29,9,"62,732,577",3,"5,000,000",11,"418,708","68,221,230",2004-01-11
4005,9,11,13,16,17,18,7,"40,863,816",7,"5,000,000",37,"152,099","67,960,088",2004-01-15
4006,4,12,18,20,23,32,6,"52,226,422",0,0,22,"221,349","70,062,020",2004-01-18
4007,4,12,17,20,25,28,9,"59,202,185",1,"5,000,000",18,"285,137","55,455,670",2004-01-29
4008,1,7,10,22,32,33,13,"45,740,516",4,"5,000,000",26,"107,774","56,569,688",2004-02-01
4009,1,9,10,16,22,24,11,"45,853,850",1,"5,000,000",15,"146,095","62,089,966",2004-02-05
4010,6,7,8,13,14,19,15,"24,953,322",6,"5,000,000",75,"51,996","63,960,828",2004-02-08
4011,1,4,13,23,28,30,3,"39,374,173",0,0,3,"2,060,121","64,816,706",2004-02-12
4012,1,7,27,30,31,33,8,"40,913,054",2,"5,000,000",12,"412,102","63,403,910",2004-02-15
4013,12,14,21,29,30,32,13,"51,356,236",0,0,19,"235,560","64,366,718",2004-02-19
4014,3,7,11,17,20,26,12,"33,706,890",5,"5,000,000",39,"80,776","63,952,992",2004-02-22
4015,1,3,5,18,22,23,13,"44,904,613",1,"5,000,000",17,"408,345","67,256,520",2004-02-26
4016,4,7,8,28,30,32,5,"55,950,410",0,0,27,"175,330","64,489,348",2004-02-29
4017,5,12,14,15,25,31,9,"58,868,782",1,"5,000,000",30,"113,119","64,576,288",2004-03-04
4018,2,5,6,8,28,30,6,"58,828,522",2,"5,000,000",25,"170,738","66,466,596",2004-03-07
4019,5,10,11,23,24,32,4,"61,685,052",2,"5,000,000",34,"162,057","70,336,884",2004-03-11
4020,1,2,9,22,28,31,4,"81,357,402",0,0,22,"383,227","72,242,026",2004-03-14
4021,5,9,11,17,26,27,10,"90,449,922",0,0,26,"149,876","73,472,684",2004-03-18
4022,3,10,14,19,20,30,6,"90,981,552",3,"5,000,000",54,"123,266","75,568,694",2004-03-21
4023,1,8,14,17,19,30,3,"107,413,438",0,0,11,"640,203","76,833,710",2004-03-25
4024,1,13,21,23,25,32,6,"116,399,749",0,0,5,"4,193,612","86,812,198",2004-03-28
4025,7,8,10,24,29,33,4,"104,672,888",4,"5,000,000",43,"448,930","96,888,986",2004-04-01
4026,4,10,14,18,28,32,15,"97,698,720",3,"5,000,000",65,"288,106","92,237,208",2004-04-04
4027,1,5,9,10,18,32,11,"76,945,600",5,"5,000,000",13,"140,007","89,134,080",2004-04-08
4028,1,2,3,5,10,22,12,"84,965,472",2,"5,000,000",17,"454,282","91,292,310",2004-04-11
4029,9,13,20,22,24,32,5,"89,096,304",3,"5,000,000",27,"303,664","88,313,002",2004-04-15
4030,1,7,9,17,26,31,5,"109,522,812",0,0,38,"230,374","85,809,328",2004-04-18
4031,3,6,19,20,21,24,11,"116,465,139",0,0,6,"2,699,793","93,249,470",2004-04-22
4032,2,5,8,11,15,31,13,"100,422,948",4,"5,000,000",45,"205,219","95,382,618",2004-04-25
4033,1,4,8,9,19,20,1,"108,824,910",2,"5,000,000",43,"455,920","95,181,550",2004-04-29
4034,2,7,13,20,27,30,14,"95,591,664",4,"5,000,000",57,"277,001","87,333,028",2004-05-02
4035,2,8,26,27,30,32,16,"101,170,056",2,"5,000,000",31,"215,369","80,558,094",2004-05-06
4036,2,13,17,18,26,30,1,"111,655,069",0,0,28,"873,751","91,493,038",2004-05-09
4037,3,4,11,17,20,26,5,"113,517,880",1,"5,000,000",36,"444,811","88,267,394",2004-05-13
4038,11,16,17,25,28,29,7,"112,095,419",1,"5,000,000",40,"208,689","88,138,308",2004-05-16
4039,10,16,18,25,26,29,3,"115,503,169",1,"5,000,000",24,"817,420","89,037,042",2004-05-20
4040,7,17,19,20,21,29,11,"116,302,448",1,"5,000,000",57,"237,397","88,282,398",2004-05-23
4041,8,10,17,22,25,29,14,"122,973,176",0,0,16,"972,814","87,199,902",2004-05-27
4042,6,10,13,17,18,21,2,"128,720,530",0,0,27,"496,684","86,844,222",2004-05-30
4043,4,9,10,21,22,24,10,"115,208,260",4,"5,000,000",79,"191,620","88,243,112",2004-06-03
4044,2,6,7,12,31,32,5,"106,056,639",3,"5,000,000",46,"296,656","88,925,916",2004-06-06
4045,1,12,18,26,27,28,13,"95,014,377",3,"5,000,000",40,"230,868","87,139,276",2004-06-10
4046,7,15,16,22,23,32,14,"104,590,772",2,"5,000,000",66,"127,119","84,024,020",2004-06-13
4047,1,7,8,11,27,31,6,"89,616,524",4,"5,000,000",48,"244,307","83,699,424",2004-06-17
4048,8,9,11,16,17,29,9,"52,618,600",8,"5,000,000",58,"22,182","82,446,706",2004-06-20
4049,11,12,14,16,25,29,9,"68,974,336",1,"5,000,000",14,"653,747","82,759,940",2004-06-24
4050,6,7,19,21,25,29,2,"85,530,529",0,0,38,"186,723","79,279,672",2004-06-27
4051,2,3,9,10,15,29,11,"91,039,998",0,0,18,"131,177","77,098,174",2004-07-01
4052,1,12,14,15,17,29,9,"110,782,937",0,0,9,"940,139","78,771,600",2004-07-04
4053,2,3,4,9,24,25,2,"119,314,262",0,0,22,"904,837","80,917,678",2004-07-08
4054,9,11,14,16,27,28,11,"118,877,124",1,"5,000,000",29,"367,126","79,867,882",2004-07-11
4055,6,8,19,25,29,32,7,"118,923,004",1,"5,000,000",20,"588,686","82,803,812",2004-07-15
4056,1,20,21,25,29,30,2,"106,870,504",4,"5,000,000",34,"545,416","82,258,324",2004-07-18
4057,5,21,23,25,28,32,4,"108,636,240",1,"5,000,000",12,"1,315,559","78,588,992",2004-07-22
4058,1,8,11,12,27,31,12,"114,083,452",0,0,63,"201,748","78,945,786",2004-07-25
4059,4,7,11,19,23,26,10,"109,858,285",2,"5,000,000",60,"224,576","81,550,264",2004-07-29
4060,3,5,11,24,27,28,15,"111,085,027",1,"5,000,000",24,"605,377","82,300,446",2004-08-01
4061,13,16,19,20,23,33,9,"117,547,628",0,0,14,"1,077,100","83,100,610",2004-08-05
4062,1,12,25,27,28,29,13,"116,603,885",1,"5,000,000",29,"326,365","80,873,918",2004-08-08
4063,7,10,13,16,27,28,7,"107,786,334",3,"5,000,000",17,"848,571","80,827,418",2004-08-12
4064,14,15,18,20,27,31,4,"114,175,530",0,0,13,"1,146,778","80,884,374",2004-08-15
4065,13,14,27,29,32,33,8,"105,287,670",2,"5,000,000",12,"216,249","81,729,668",2004-08-19
4066,5,13,20,23,24,25,3,"106,988,146",1,"5,000,000",12,"1,302,870","79,363,542",2004-08-22
4067,1,6,7,13,16,32,4,"112,721,435",0,0,10,"1,337,767","52,451,144",2004-08-24
4068,2,8,11,13,24,31,15,"108,871,802",2,"5,000,000",19,"755,308","65,964,386",2004-08-26
4069,2,11,15,20,22,29,5,"114,504,412",0,0,32,"410,711","75,514,566",2004-08-29
4070,10,12,21,22,30,33,6,"112,580,527",1,"5,000,000",24,"299,066","57,522,300",2004-08-31
4071,3,8,16,17,21,29,6,"109,272,560",2,"5,000,000",71,"219,926","67,283,612",2004-09-02
4072,8,15,18,28,30,33,14,"116,078,545",0,0,17,"934,154","77,849,352",2004-09-05
4073,2,7,13,16,23,28,16,"109,849,792",2,"5,000,000",48,"183,324","61,137,370",2004-09-07
4074,5,6,15,19,26,29,13,"109,121,720",1,"5,000,000",48,"207,663","68,096,176",2004-09-09
4075,7,18,21,26,27,28,7,"108,103,291",1,"5,000,000",15,"619,355","78,991,502",2004-09-12
4076,3,5,13,17,25,31,7,"114,996,022",0,0,46,"349,631","63,859,190",2004-09-14
4077,8,9,10,14,16,26,7,"122,645,357",0,0,23,"776,019","69,121,428",2004-09-16
4078,4,5,10,21,24,26,5,"130,039,170",0,0,19,"908,012","79,354,040",2004-09-19
4079,7,13,14,17,19,30,3,"135,666,293",0,0,18,"729,441","63,685,518",2004-09-21
4080,3,8,20,23,24,26,16,"137,620,187",1,"5,000,000",19,"853,987","70,123,190",2004-09-23
4081,3,5,21,24,27,32,6,"145,187,708",0,0,23,"767,719","80,066,860",2004-09-26
4082,3,20,24,27,29,30,15,"146,741,369",1,"5,000,000",10,"1,529,187","66,973,086",2004-09-28
4083,14,16,27,28,30,33,6,"154,070,313",0,0,13,"1,315,451","67,740,048",2004-09-30
4084,1,4,8,11,21,25,14,"138,412,100",4,"5,000,000",26,"389,647","71,287,498",2004-10-03
4085,3,8,11,29,30,32,1,"143,323,114",0,0,12,"954,919","58,608,118",2004-10-05
4086,10,13,18,19,25,27,1,"145,427,257",1,"5,000,000",19,"872,438","64,152,202",2004-10-07
4087,1,3,7,8,25,26,14,"143,538,240",2,"5,000,000",32,"591,425","79,731,102",2004-10-10
4088,2,10,19,22,24,32,14,"150,836,622",0,0,8,"2,182,694","63,311,248",2004-10-12
4089,14,17,20,25,28,30,14,"157,962,040",0,0,23,"722,868","67,942,334",2004-10-14
4090,1,18,20,24,32,33,12,"163,910,685",0,0,6,"2,313,362","78,631,066",2004-10-17
4091,9,13,14,21,30,33,1,"171,360,880",0,0,18,"965,766","65,871,134",2004-10-19
4092,1,4,8,13,28,31,2,"176,917,360",0,0,16,"810,320","68,711,350",2004-10-21
4093,11,14,20,27,32,33,5,"183,713,811",0,0,8,"1,982,298","79,237,088",2004-10-24
4094,5,9,10,13,24,25,8,"176,151,596",2,"5,000,000",26,"218,775","67,261,634",2004-10-26
4095,19,22,27,28,30,32,1,"179,106,388",1,"5,000,000",17,"1,091,834","71,852,542",2004-10-28
4096,1,4,12,16,20,30,15,"186,184,209",0,0,22,"750,677","80,026,728",2004-10-31
4097,10,19,20,26,29,31,14,"187,615,974",1,"5,000,000",45,"333,498","67,373,290",2004-11-02
4098,3,12,13,25,26,31,3,"188,828,501",1,"5,000,000",21,"690,280","70,521,134",2004-11-04
4099,5,10,21,22,26,33,2,"196,928,828",0,0,16,"1,181,297","80,866,870",2004-11-07
4100,6,8,9,14,24,33,15,"199,112,633",1,"5,000,000",17,"986,012","68,740,958",2004-11-09
4101,2,9,14,19,25,26,15,"201,836,811",1,"5,000,000",23,"783,612","70,744,348",2004-11-11
4102,3,9,12,15,28,32,1,"201,836,811",0,0,33,"904,658","94,949,994",2004-11-14
4103,2,3,5,9,16,21,2,"196,836,811",1,"5,000,000",11,"2,233,639","78,484,502",2004-11-16
4104,7,11,17,18,24,29,5,"110,968,746",17,"5,000,000",360,"3,000","77,680,562",2004-11-18
4105,7,9,10,21,23,30,12,"118,645,698",0,0,25,"716,515","88,083,126",2004-11-21
4106,10,15,23,26,28,29,12,"122,108,140",1,"5,000,000",7,"2,510,254","73,170,708",2004-11-23
4107,1,8,12,13,18,20,7,"120,875,381",1,"5,000,000",38,"231,321","73,766,690",2004-11-25
4108,8,13,14,27,28,31,12,"78,191,360",10,"5,000,000",197,"86,652","87,178,712",2004-11-28
4109,6,8,10,17,30,31,14,"93,158,097",0,0,18,"356,350","70,969,916",2004-11-30
4110,14,19,20,21,22,31,11,"99,364,513",0,0,15,"177,326","75,845,326",2004-12-02
4111,11,16,18,20,26,31,2,"112,873,711",1,"5,000,000",24,"330,521","85,650,300",2004-12-05
4112,9,13,15,21,26,33,6,"107,032,078",2,"5,000,000",65,"149,274","73,167,518",2004-12-07
4113,8,10,23,25,31,32,7,"108,655,316",1,"5,000,000",20,"772,711","78,297,556",2004-12-10
4114,1,6,9,17,21,22,1,"107,140,316",2,"5,000,000",14,"1,414,166","90,387,406",2004-12-13
4115,2,16,20,30,31,33,1,"114,889,326",0,0,9,"2,009,002","73,673,592",2004-12-14
4116,1,3,5,8,14,33,3,"121,746,200",0,0,15,"1,066,624","76,958,968",2004-12-16
4117,1,3,7,14,24,25,7,"124,596,504",1,"5,000,000",16,"1,144,836","88,600,982",2004-12-19
4118,3,4,7,12,30,31,15,"126,497,296",1,"5,000,000",17,"947,167","73,120,372",2004-12-21
4119,6,9,18,20,25,33,6,"132,457,522",0,0,26,"534,892","74,319,134",2004-12-23
4120,7,8,18,21,27,32,10,"125,563,326",2,"5,000,000",24,"301,953","87,000,158",2004-12-26
4121,7,13,16,18,30,32,10,"126,900,373",1,"5,000,000",17,"869,790","71,029,820",2004-12-28
4122,3,11,14,22,24,31,15,"123,775,848",2,"5,000,000",33,"486,144","73,723,296",2004-12-30
5001,1,7,8,23,27,28,14,"130,427,310",0,0,24,"646,669","82,345,328",2005-01-02
5002,6,9,20,26,28,33,14,"130,856,606",1,"5,000,000",28,"452,441","69,161,632",2005-01-04
5003,9,12,15,19,22,31,16,"106,801,512",6,"5,000,000",26,"533,517","74,532,408",2005-01-06
5004,1,4,8,9,22,23,3,"94,145,228",4,"5,000,000",42,"407,984","87,357,176",2005-01-09
5005,5,9,20,26,28,33,15,"100,597,478",2,"5,000,000",61,"115,589","70,647,958",2005-01-11
5006,2,4,5,15,21,31,16,"98,464,204",2,"5,000,000",14,"1,311,121","74,203,108",2005-01-13
5007,7,15,17,20,23,33,15,"109,791,408",2,"5,000,000",15,"609,348","86,322,510",2005-01-16
5008,11,19,22,27,32,33,11,"110,005,324",1,"5,000,000",26,"467,915","72,041,750",2005-01-18
5009,2,17,22,27,29,31,14,"111,376,322",1,"5,000,000",11,"1,351,424","74,072,772",2005-01-20
5010,8,10,11,18,25,26,1,"91,876,180",5,"5,000,000",65,"197,430","86,560,850",2005-01-23
5011,9,11,13,15,22,30,15,"102,562,630",1,"5,000,000",15,"448,184","70,934,662",2005-01-25
5012,2,3,6,16,22,31,5,"98,114,924",2,"5,000,000",50,"259,107","73,524,782",2005-01-27
5013,7,8,16,19,20,24,6,"59,723,073",9,"5,000,000",62,"45,678","85,862,110",2005-01-30
5014,13,19,21,23,30,32,5,"61,051,878",3,"5,000,000",18,"388,781","70,400,450",2005-02-01
5015,4,8,9,16,17,29,15,"68,982,783",1,"5,000,000",43,"128,879","71,767,638",2005-02-03
5016,1,5,6,12,16,30,15,"86,877,775",0,0,27,"284,047","85,896,264",2005-02-06
5017,2,6,10,25,27,31,3,"91,571,416",2,"5,000,000",17,"370,427","69,139,166",2005-02-16
5018,1,3,6,22,23,25,6,"100,709,900",1,"5,000,000",22,"275,425","70,853,674",2005-02-17
5019,6,11,12,13,19,22,8,"100,789,176",1,"5,000,000",17,"697,155","80,017,318",2005-02-20
5020,14,16,19,20,25,29,5,"100,848,451",1,"5,000,000",27,"437,221","71,772,338",2005-02-22
5021,2,6,24,26,30,31,16,"108,056,690",0,0,5,"3,363,844","74,925,080",2005-02-24
5022,8,10,12,21,32,33,4,"73,756,112",8,"5,000,000",52,"255,743","87,869,528",2005-02-27
5023,10,15,19,20,21,25,12,"67,737,564",4,"5,000,000",20,"299,602","70,112,088",2005-03-01
5024,5,9,14,27,31,32,13,"58,260,000",4,"5,000,000",37,"121,881","72,808,046",2005-03-03
5025,1,7,10,11,13,32,7,"64,281,922",1,"5,000,000",18,"262,426","83,986,854",2005-03-06
5026,6,12,14,20,25,26,7,"72,360,968",1,"5,000,000",24,"233,554","72,124,158",2005-03-08
5027,1,3,4,6,21,32,15,"81,806,582",1,"5,000,000",12,"515,914","74,896,882",2005-03-10
5028,4,9,22,25,26,32,10,"91,445,748",1,"5,000,000",18,"348,551","83,942,448",2005-03-13
5029,2,14,21,22,27,30,14,"102,159,495",0,0,12,"382,633","73,015,078",2005-03-15
5030,1,5,9,14,22,28,5,"93,374,391",3,"5,000,000",34,"426,512","78,215,814",2005-03-17
5031,4,10,16,20,23,32,7,"105,294,059",1,"5,000,000",44,"164,801","88,181,316",2005-03-20
5032,5,15,19,20,25,29,3,"90,569,540",4,"5,000,000",52,"236,720","75,420,852",2005-03-22
5033,7,8,12,14,19,20,7,"107,761,872",0,0,10,"736,814","76,996,234",2005-03-24
5034,5,17,18,25,28,32,9,"69,911,648",8,"5,000,000",54,"92,891","92,625,150",2005-03-27
5035,12,16,21,28,29,30,14,"78,222,863",1,"5,000,000",15,"380,320","73,995,036",2005-03-29
5036,12,19,20,21,26,31,15,"91,022,448",0,0,21,"261,216","76,548,738",2005-03-31
5037,7,12,14,22,24,32,16,"97,865,355",1,"5,000,000",25,"203,021","88,843,416",2005-04-03
5038,4,7,11,20,27,28,16,"103,430,748",2,"5,000,000",69,"96,679","76,754,210",2005-04-05
5039,2,16,18,19,21,29,9,"99,858,268",2,"5,000,000",18,"833,197","78,209,132",2005-04-07
5040,1,12,21,24,30,32,13,"111,329,404",1,"5,000,000",14,"504,218","89,311,042",2005-04-10
5041,2,11,16,23,24,29,3,"103,667,406",3,"5,000,000",36,"475,611","78,144,480",2005-04-12
5042,11,16,21,26,27,30,15,"100,786,410",2,"5,000,000",24,"692,125","79,192,448",2005-04-14
5043,4,5,6,7,8,32,5,"72,411,962",7,"5,000,000",14,"1,104,258","91,903,906",2005-04-17
5044,1,6,16,17,18,22,9,"83,952,868",0,0,32,"154,565","70,627,418",2005-04-19
5045,1,7,10,15,18,20,10,"99,231,829",0,0,19,"344,638","77,512,424",2005-04-21
5046,9,16,18,20,22,24,5,"115,619,699",1,"5,000,000",23,"398,531","91,639,786",2005-04-24
5047,2,3,5,7,8,27,15,"120,368,756",0,0,22,"503,687","77,150,922",2005-04-26
5048,6,7,8,10,16,28,2,"126,273,226",0,0,29,"475,072","80,188,244",2005-04-28
5049,2,3,8,10,25,27,12,"127,827,112",1,"5,000,000",9,"1,699,155","87,276,712",2005-05-01
5050,2,9,12,20,26,32,13,"132,579,703",0,0,23,"482,146","68,676,002",2005-05-03
5051,3,6,14,19,20,21,2,"134,776,738",1,"5,000,000",43,"390,536","72,706,272",2005-05-05
5052,1,2,14,17,30,32,1,"137,909,685",1,"5,000,000",20,"948,843","90,275,684",2005-05-08
5053,4,7,10,14,27,29,9,"128,885,553",3,"5,000,000",25,"557,747","76,967,356",2005-05-10
5054,5,13,17,18,21,29,14,"129,088,876",1,"5,000,000",34,"357,090","81,854,430",2005-05-12
5055,5,20,22,30,32,33,9,"128,789,536",2,"5,000,000",20,"1,131,743","93,309,308",2005-05-15
5056,12,17,19,27,29,31,9,"114,443,196",4,"5,000,000",46,"286,780","76,174,508",2005-05-17
5057,5,6,10,15,30,31,13,"116,178,805",1,"5,000,000",20,"785,821","79,892,628",2005-05-19
5058,4,6,10,21,25,26,10,"119,093,702",1,"5,000,000",36,"513,002","93,045,298",2005-05-22
